sequence_id,stride,start,n_views,median_gap_deg,mean_gap_deg,p90_gap_deg,total_coverage_deg,trajectory_arc_length,rot_median,rot_p90,rot_mean,center_median_norm,center_p90_norm,trajectory_cosine,neighbor_rpe_rot,neighbor_rpe_trans,pose_gate,frame_indices
plantview__langdon_4__15-04-24,8,39,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,2.9404764729125423,8.75792658221282,3.7658589266126654,0.06519472376532379,0.09016062562036686,0.9964950116729496,4.187993026713466,0.08355237735635998,PASS,"39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159"
plantview__langdon_4__15-04-24,8,78,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,5.242417108284167,13.395319196312267,8.030541203512684,0.1009979813688471,0.1640597866301647,0.9935117038022564,10.131412479208588,0.12459675587708656,PASS,"78,86,94,102,110,118,126,134,142,150,158,166,174,182,190,198"
plantview__langdon_4__15-04-24,8,118,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,16.374142039007147,30.080567883054805,18.600100685425133,0.21396458756380715,0.32249591997272664,0.9704723188797022,17.36678924468959,0.2672129582877046,FAIL,"118,126,134,142,150,158,166,174,182,190,198,206,214,222,230,238"
plantview__langdon_4__15-04-24,8,157,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,31.065690881960517,48.26974073973326,30.525823623016095,0.5087759369962488,0.828306636798308,0.9274277007053691,14.558665328725674,0.2919052726053826,FAIL,"157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277"
plantview__langdon_4__15-04-24,10,0,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,22.727000559271183,44.452508515894294,24.591292198186196,0.198572448060363,0.2784484691127057,0.8581140863517741,22.040061020594347,0.4364058103515472,FAIL,"0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150"
plantview__langdon_4__15-04-24,10,33,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,21.164138722796324,43.68857534575924,25.10951807562602,0.28379830187341226,0.4304359068292505,0.9193158273140541,17.287207625821736,0.3428490791064701,FAIL,"33,43,53,63,73,83,93,103,113,123,133,143,153,163,173,183"
plantview__langdon_4__15-04-24,10,66,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,30.534164094764208,69.2652313444384,36.85230844145606,0.5190682941345102,1.0251563672219275,0.8524336265048337,30.29483612400451,0.4458971627652254,FAIL,"66,76,86,96,106,116,126,136,146,156,166,176,186,196,206,216"
plantview__langdon_4__15-04-24,10,100,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,15.498206123020367,42.73202564222355,20.15486195166345,0.264903949010877,0.4548563152916773,0.9454009152208676,21.712078570114517,0.34281543919327734,FAIL,"100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250"
plantview__langdon_4__15-04-24,10,133,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,6.5070067593678464,26.96741332478848,11.175719951676362,0.17259955137454983,0.3895684087856045,0.9770783938324106,13.968336505240705,0.2558725986253671,FAIL,"133,143,153,163,173,183,193,203,213,223,233,243,253,263,273,283"
plantview__langdon_4__15-04-24,12,0,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,31.459967554604713,68.71157420142882,35.818599342761544,0.3470650149335004,0.5984652396524079,0.8736762879882096,31.046864274676746,0.5420629198501243,FAIL,"0,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180"
