sequence,window_a,window_b,n_overlap,n_inliers,Q_dispersion_median,Q_dispersion_p90,Q_dispersion_max,status
plantview__langdon_4__15-04-24,21,22,8,8,0.678070547762055,1.3513749790342582,1.4083194981650777,OK
plantview__langdon_4__15-04-24,22,23,8,8,1.0225571965586933,3.825677739432091,4.499683338502703,OK
plantview__langdon_4__15-04-24,23,24,8,7,1.077776280015419,1.5368618538138674,2.127392120662336,OK
plantview__langdon_4__15-04-24,24,25,8,8,2.4687520333417554,3.355209689645018,3.5538288675363,OK
plantview__langdon_4__15-04-24,25,26,8,8,1.2051623867725112,1.6799190387940486,1.691362890310042,OK
plantview__langdon_4__15-04-24,26,27,8,8,1.4173224742853678,3.2828577375494885,3.394635467149123,OK
plantview__langdon_4__15-04-24,27,28,8,8,0.8183903621691457,1.5253290373101658,1.5662215273183573,OK
plantview__langdon_4__15-04-24,28,29,8,6,0.5077416866136165,3.31342302774811,3.4818238839577984,OK
plantview__langdon_4__15-04-24,29,30,8,8,0.9246832647555937,1.6951500554469876,1.8752026521725556,OK
plantview__langdon_4__15-04-24,30,31,8,8,1.7380615020923398,2.486936866744755,3.6213685102522324,OK
plantview__langdon_4__15-04-24,31,32,8,8,0.7685673579153616,1.2474735467996354,1.2514010476876698,OK
plantview__langdon_4__15-04-24,32,33,8,5,0.0,3.0679504270508153,3.0978076158538435,OK
plantview__langdon_4__15-04-24,33,34,8,8,0.4704133622920226,1.5298717879618258,1.5382853024082341,OK
plantview__langdon_4__15-04-24,34,35,8,5,0.3753863412983755,3.2580032386995152,3.9545394715734092,OK
plantview__langdon_4__15-04-24,35,36,8,8,0.9983696810230047,1.6637761961537914,2.2271722810097208,OK
plantview__langdon_4__15-04-24,36,37,8,8,1.0112345693150524,2.903757297236117,3.2347430386309304,OK
plantview__langdon_4__15-04-24,37,38,8,8,2.116954083684955,2.4035483350635927,2.6605915002180285,OK
plantview__langdon_4__19-03-24,0,1,8,8,1.832532667189045,3.4975458932340584,3.9536150792713025,OK
plantview__langdon_4__19-03-24,1,2,8,8,0.0,1.2178448724495254,1.3017246651745313,OK
plantview__langdon_4__19-03-24,2,3,8,8,1.4120629908373397,4.004787964905882,5.566162170737479,OK
plantview__langdon_4__19-03-24,3,4,8,8,0.0,0.4484541166459526,0.6864486669721275,OK
plantview__langdon_4__19-03-24,4,5,8,8,0.8095078496291452,2.9675080464779975,3.6227810663012323,OK
plantview__langdon_4__19-03-24,5,6,8,8,0.0,1.0896890183279513,1.1982998292682838,OK
plantview__langdon_4__19-03-24,6,7,8,8,1.5555706757299177,4.028260130675142,4.759750772055257,OK
plantview__langdon_4__19-03-24,7,8,8,8,0.8322048051058468,2.037096986022184,2.8597057823387257,OK
plantview__langdon_4__19-03-24,8,9,8,8,1.5796703006630515,2.692122195007938,2.8767034492450034,OK
plantview__langdon_4__19-03-24,9,10,8,7,0.2640053605749039,1.2343403809596172,2.0308580277074717,OK
plantview__langdon_4__19-03-24,10,11,8,8,2.626377960029546,3.3260367279774177,3.727118710404876,OK
plantview__langdon_4__19-03-24,11,12,8,8,1.4158353067851517,2.0107815084022445,2.039232794900109,OK
plantview__langdon_4__19-03-24,12,13,8,8,1.4046792846345078,3.4079203860548284,3.7242295146227455,OK
plantview__langdon_4__19-03-24,13,14,8,8,1.5372189773666571,1.9920250555051902,2.083793701779506,OK
plantview__langdon_4__19-03-24,14,15,8,8,1.6591915434293592,3.10529945042786,3.4687146534096414,OK
plantview__langdon_4__19-03-24,15,16,8,8,1.3571514740118602,1.8927121358150176,1.9314797892332487,OK
plantview__langdon_4__19-03-24,16,17,8,8,0.8608333199924729,2.6267930846971317,3.9492903771764603,OK
plantview__langdon_4__19-03-24,17,18,8,8,1.2724858614015946,1.745714743164629,1.7988298597965968,OK
plantview__langdon_4__19-03-24,18,19,8,8,2.0760711180007396,3.8280176369195336,4.937546478883329,OK
plantview__langdon_4__19-03-24,19,20,8,8,0.5338534898181003,1.371482417536961,1.4781935414241028,OK
plantview__langdon_4__19-03-24,20,21,8,8,0.0,2.636008200861421,3.1206124459384315,OK
plantview__langdon_4__19-03-24,21,22,8,8,0.0,1.8098530324632267,1.8290570732982554,OK
plantview__langdon_4__19-03-24,22,23,8,8,2.288794775883708,3.635395785358978,3.8495640152753015,OK
plantview__langdon_4__19-03-24,23,24,8,8,0.0,1.270163634364816,1.8521489092433052,OK
plantview__langdon_4__19-03-24,24,25,8,8,0.5978883627099496,3.5603088995570964,3.7000477849826736,OK
plantview__langdon_4__19-03-24,25,26,8,8,0.0,0.9881370770188451,1.7834309170159375,OK
plantview__langdon_4__19-03-24,26,27,8,8,2.3183221950207678,3.438209806532024,4.346738886834453,OK
plantview__langdon_4__19-03-24,27,28,8,8,0.5693307780615067,1.40404639547447,1.8875228700228424,OK
plantview__langdon_4__19-03-24,28,29,8,8,1.9923357442032912,3.726542831859434,4.147704276122159,OK
plantview__langdon_4__19-03-24,29,30,8,8,1.3563574293020422,2.094426608378871,2.742949339871662,OK
plantview__langdon_4__19-03-24,30,31,8,8,1.318386938570225,3.065054930985228,3.105623087543669,OK
plantview__langdon_4__19-03-24,31,32,8,8,0.4205176600723397,1.6657930525318752,2.2139966527679458,OK
plantview__langdon_4__19-03-24,32,33,8,5,0.5683081282256416,3.2455012916589028,3.3859945536006557,OK
plantview__langdon_4__19-03-24,33,34,8,8,0.0,1.241419353259656,1.2528509576946558,OK
plantview__langdon_4__19-03-24,34,35,8,8,0.0,2.572246326839154,3.044328886065963,OK
plantview__langdon_4__19-03-24,35,36,8,8,0.4818266887722835,1.2909303928742308,1.4814896851771238,OK
plantview__langdon_4__19-03-24,36,37,8,5,0.0,1.4776115093545112,2.05371707916806,OK
plantview__langdon_4__19-03-24,37,38,8,8,0.0,1.620757607970076,1.68488419161474,OK
wheat3dgs__plot_461,0,1,8,8,0.6367450739293722,1.4906321314769442,2.529382343897455,OK
wheat3dgs__plot_461,1,2,8,8,0.8688271072580355,1.4009926311871808,1.7597909968409107,OK
wheat3dgs__plot_461,2,3,8,8,0.9510326061523762,1.5949857709163862,2.0139808730625464,OK
wheat3dgs__plot_467,0,1,8,8,1.800622140082289,3.223688059248232,3.450425178558878,OK
wheat3dgs__plot_467,1,2,8,8,0.9232232530014683,1.1335494432562934,1.2913708238098704,OK
wheat3dgs__plot_467,2,3,8,8,0.9424645309141095,1.3550754601211048,1.6335822109370128,OK
