sequence_id,window_a,window_b,n_overlap,status,alignment_scale,alignment_rotation_deg,alignment_translation_norm,overlap_center_RMSE_before,overlap_center_RMSE_after,overlap_rotation_error_before,center_spread
plantview__langdon_4__05-03-24,29,30,8,OK,1.097590167861847,50.14823445620497,0.7750267544030848,0.7243216037750244,0.005398078713890979,44.6280517578125,0.19569466
plantview__langdon_4__05-03-24,30,31,8,OK,0.9082668864128789,43.13844533131783,0.7435557678026644,0.8413593769073486,0.010299774925958342,49.4784049987793,0.20888701
plantview__langdon_4__05-03-24,31,32,8,OK,1.0093478082059872,48.03373420468925,0.6609242304671972,0.6590074300765991,0.010694799396329674,42.02460861206055,0.19018875
plantview__langdon_4__05-03-24,32,33,8,OK,1.0760909964961796,46.86964086621304,0.8043004526462022,0.7404417991638184,0.00793858690742815,48.723777770996094,0.19084147
plantview__langdon_4__05-03-24,33,34,8,OK,1.0680105372318578,46.62600266741934,0.8030985739239664,0.7581996321678162,0.007996734766937788,46.210784912109375,0.2056807
plantview__langdon_4__05-03-24,34,35,8,OK,0.9574207483282149,47.79349659541142,0.8158546601757732,0.8580126166343689,0.008477553309039708,50.41883850097656,0.20665339
plantview__langdon_4__05-03-24,35,36,8,OK,0.9738055498724446,48.81387622155086,0.6567594885804803,0.6652414202690125,0.00848336641026813,42.05260467529297,0.19459835
plantview__langdon_4__05-03-24,36,37,8,OK,1.0444319063700085,43.822003274268994,0.7507611648971202,0.7219210863113403,0.01087983050075046,47.18686294555664,0.19173235
plantview__langdon_4__05-03-24,37,38,8,OK,1.0598874408245331,45.027297203348255,0.7874806280797623,0.7467828989028931,0.005499103466465222,45.861427307128906,0.20140149
plantview__langdon_4__12-03-24,0,1,8,OK,0.981789914048605,43.790949183180466,0.7309714976589214,0.7601566314697266,0.013323578272471501,46.12976837158203,0.20178992
plantview__langdon_4__12-03-24,1,2,8,OK,1.0577762258685997,53.39904494354295,0.780809209720105,0.7420090436935425,0.006822551917106509,43.79962158203125,0.19961187
plantview__langdon_4__12-03-24,2,3,8,OK,0.9626336158864666,48.116301744383776,0.7956486637222956,0.8470320701599121,0.009836395014640346,49.456695556640625,0.2139477
plantview__langdon_4__12-03-24,3,4,8,OK,0.9656837414113151,44.32572161659014,0.6526404122433855,0.6706828474998474,0.007723915298793759,39.54076385498047,0.20484948
plantview__langdon_4__12-03-24,4,5,8,OK,1.0377485359185727,41.6768459550412,0.7723004608507529,0.7531891465187073,0.011681597255929495,46.045536041259766,0.19298105
plantview__langdon_4__12-03-24,5,6,8,OK,1.0258144187089127,42.37781953778366,0.7699618489203646,0.7367867827415466,0.007989985060114769,43.72016143798828,0.20341459
plantview__langdon_4__12-03-24,6,7,8,OK,0.9755157697583964,47.9203488290099,0.7992379610660524,0.8408139944076538,0.00567541938159808,48.457794189453125,0.21193984
plantview__langdon_4__12-03-24,7,8,8,OK,0.9714098801535344,43.598495844729506,0.6737621417569002,0.6922279000282288,0.007486976059702343,40.260528564453125,0.20606574
plantview__langdon_4__12-03-24,8,9,8,OK,1.0007290639088724,43.05987428533926,0.7553207408029168,0.7809090614318848,0.01247152954118059,47.07112121582031,0.19768324
plantview__langdon_4__12-03-24,9,10,8,OK,1.0638587557779884,48.21400615299815,0.7709848150447727,0.7358194589614868,0.008482072512230961,43.24073791503906,0.19138563
plantview__langdon_4__12-03-24,10,11,8,OK,0.9961808772086302,48.01183680351138,0.7982048857805621,0.7958580851554871,0.015054117525806375,47.83259582519531,0.20473032
plantview__langdon_4__12-03-24,11,12,8,OK,0.9344699231883957,46.644577422824916,0.6765750477925219,0.7017771601676941,0.008420190757965592,41.21664810180664,0.2103608
plantview__langdon_4__12-03-24,12,13,8,OK,1.0263060542866072,47.48082598264132,0.7754662296936875,0.7698218822479248,0.011627223270459614,46.18916320800781,0.18880337
plantview__langdon_4__12-03-24,13,14,8,OK,1.0005096898922368,42.78033766969745,0.7436483144891721,0.7240537405014038,0.0053198508596993595,43.57218933105469,0.20242664
plantview__langdon_4__12-03-24,14,15,8,OK,0.9367093982038552,47.39859487579085,0.742653936497607,0.8177722692489624,0.0065698240105498485,48.88759994506836,0.20433645
plantview__langdon_4__12-03-24,15,16,8,OK,0.9516154971008395,45.61845314430276,0.6518501454485148,0.6768977642059326,0.007810644158934077,40.41000747680664,0.20246421
plantview__langdon_4__12-03-24,16,17,8,OK,0.9991866967795913,43.813814826062064,0.7407571663799476,0.7575612664222717,0.008101607857032199,47.06775665283203,0.19889534
plantview__langdon_4__12-03-24,17,18,8,OK,0.9993869008872097,57.02775848400008,0.7375749592098473,0.7270008325576782,0.007159763245406873,44.0502815246582,0.2002655
plantview__langdon_4__12-03-24,18,19,8,OK,0.9544913970203329,48.35741329225904,0.760029406918132,0.8221215605735779,0.009327829781469258,48.97105026245117,0.20379537
plantview__langdon_4__12-03-24,19,20,8,OK,0.9583242838048986,45.12409311264656,0.6493530656621813,0.6678640842437744,0.006191978562523903,40.262977600097656,0.19365066
plantview__langdon_4__12-03-24,20,21,8,OK,0.9743066374734705,41.5151125222976,0.6819892691714051,0.7283000946044922,0.02027713971396816,45.61705780029297,0.20001644
plantview__langdon_4__12-03-24,21,22,8,OK,1.0060431548506714,44.54153237788814,0.7407900424823323,0.724826455116272,0.007385147124836018,42.81903076171875,0.20064053
plantview__langdon_4__12-03-24,22,23,8,OK,1.005611642839953,45.94225603714366,0.8009958633612264,0.7897931337356567,0.007230280109196564,46.72703552246094,0.20410675
plantview__langdon_4__12-03-24,23,24,8,OK,0.9313854262102602,44.94075793332735,0.665322184381417,0.7001691460609436,0.009898033307796955,41.21269989013672,0.20843047
plantview__langdon_4__12-03-24,24,25,8,OK,1.0819434144161404,40.22236818115162,0.802329645984861,0.7232860922813416,0.011925861151347474,45.01283264160156,0.18437926
plantview__langdon_4__12-03-24,25,26,8,OK,1.027862591258544,45.70131356861965,0.7920051800253674,0.7516283988952637,0.006141617999445434,44.42570495605469,0.20985626
plantview__langdon_4__12-03-24,26,27,8,OK,1.0472834856327484,47.276900314675046,0.8803551875558876,0.8483452200889587,0.015610499206339678,47.93235778808594,0.21905339
plantview__langdon_4__12-03-24,27,28,8,OK,0.8656395355878813,44.606496579677454,0.664497948622748,0.7241110801696777,0.016476183657080243,41.369964599609375,0.23668768
plantview__langdon_4__12-03-24,28,29,8,OK,1.0814086762867667,45.06602698081767,0.8388408815312968,0.7771828174591064,0.014125057920800948,47.06734848022461,0.19364694
