sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,15,16,1,12,11,1.7036,3.2153,5.5332,0.369876,OK,0.996655,0.075416,-0.031498,-0.062601,0.952185,0.299039,0.052544,-0.296067,0.953721
plantview__langdon_4__05-03-24,15,17,2,8,8,1.0841,2.2982,3.0711,0.319884,OK,0.996893,0.057151,-0.054205,-0.061739,0.994282,-0.087129,0.048915,0.090205,0.994721
plantview__langdon_4__05-03-24,15,18,3,4,3,0.4582,2.6272,3.3604,0.228593,OK,0.99814,0.010228,-0.0601,-0.038726,0.867756,-0.495479,0.047085,0.496885,0.866538
plantview__langdon_4__05-03-24,16,17,1,12,9,3.1155,16.065,18.4565,0.242982,OK,0.999359,-0.031419,0.01717,0.035531,0.929422,-0.367304,-0.004418,0.367678,0.929943
plantview__langdon_4__05-03-24,16,18,2,8,8,8.1647,10.4765,11.2857,0.072743,OK,0.98317,-0.128907,0.129457,0.182674,0.703449,-0.68687,-0.002524,0.698958,0.715158
plantview__langdon_4__05-03-24,16,19,3,4,4,5.319,5.7055,5.8107,0.052751,OK,0.956593,-0.109307,0.270153,0.291422,0.364748,-0.884326,-0.001875,0.924668,0.38077
plantview__langdon_4__05-03-24,17,18,1,12,12,0.0,1.6857,2.5007,1.0,OK,0.999624,-0.020404,0.018315,0.026185,0.908536,-0.416984,-0.008131,0.417307,0.908729
plantview__langdon_4__05-03-24,17,19,2,8,7,0.4201,1.864,2.4781,0.469463,OK,0.999743,-0.012156,0.019126,0.022429,0.651426,-0.758381,-0.00324,0.758615,0.651531
plantview__langdon_4__05-03-24,17,20,3,4,4,0.0,1.5885,2.2693,0.333333,OK,0.957885,-0.056618,-0.281514,-0.23724,0.396297,-0.886942,0.16178,0.916375,0.366175
plantview__langdon_4__05-03-24,18,19,1,12,12,0.0,1.8089,2.249,1.0,OK,0.999935,-0.000877,-0.011367,-0.003962,0.908166,-0.418591,0.010691,0.418609,0.908104
plantview__langdon_4__05-03-24,18,20,2,8,6,0.3838,2.0342,2.7633,0.481753,OK,0.950852,-0.051615,-0.305314,-0.165784,0.747925,-0.642747,0.261527,0.661774,0.702609
plantview__langdon_4__05-03-24,18,21,3,4,4,0.0,0.8688,1.2411,0.333333,OK,0.951211,0.074708,-0.29936,-0.162432,0.946157,-0.280004,0.262323,0.314968,0.91213
plantview__langdon_4__05-03-24,19,20,1,12,11,0.3557,2.0145,4.0192,0.737624,OK,0.955175,-0.046889,-0.292306,-0.041698,0.956225,-0.289647,0.293092,0.288852,0.911406
plantview__langdon_4__05-03-24,19,21,2,8,8,0.6691,2.9668,3.551,0.39941,OK,0.956516,0.072636,-0.282492,-0.037414,0.99105,0.128143,0.289271,-0.112001,0.950672
plantview__langdon_4__05-03-24,19,22,3,4,4,1.5624,3.2305,3.2758,0.130086,OK,0.952521,0.204064,-0.225969,-0.051602,0.839622,0.540714,0.300068,-0.503381,0.810288
plantview__langdon_4__05-03-24,20,21,1,12,11,0.5701,2.6309,3.9927,0.636908,OK,0.999972,-0.007518,-0.000261,0.006977,0.913997,0.40566,-0.002811,-0.40565,0.914024
plantview__langdon_4__05-03-24,20,22,2,8,8,1.6203,3.9708,4.5722,0.254427,OK,0.999869,0.012682,-0.010055,-0.000925,0.665037,0.746809,0.016158,-0.746702,0.664962
plantview__langdon_4__05-03-24,20,23,3,4,4,1.8987,4.4236,4.692,0.114993,OK,0.999962,0.007213,-0.004828,0.002675,0.272977,0.962017,0.008257,-0.961993,0.272948
plantview__langdon_4__05-03-24,21,22,1,12,12,2.5826,4.5868,5.4367,0.279129,OK,0.999791,0.010669,0.017443,-0.016817,0.914312,0.404661,-0.011631,-0.40487,0.9143
plantview__langdon_4__05-03-24,21,23,2,8,8,1.6036,4.6693,4.7644,0.256051,OK,0.999747,-0.010998,0.019598,-0.008078,0.637916,0.770063,-0.020971,-0.770027,0.637666
plantview__langdon_4__05-03-24,21,24,3,4,4,0.8245,3.5623,4.3822,0.182698,OK,0.999886,0.009803,-0.011462,0.006872,0.380388,0.924802,0.013426,-0.924775,0.380277
plantview__langdon_4__05-03-24,22,23,1,12,12,2.1031,2.7997,3.516,0.322263,OK,0.999862,0.006859,-0.015143,0.000596,0.895538,0.444985,0.016613,-0.444933,0.89541
plantview__langdon_4__05-03-24,22,24,2,8,8,2.1936,2.5522,2.7342,0.208752,OK,0.995246,0.082803,-0.051281,-0.024485,0.722319,0.691127,0.094269,-0.686585,0.720912
plantview__langdon_4__05-03-24,22,25,3,4,4,1.1047,1.3866,1.4538,0.158376,OK,0.993946,0.071365,-0.083536,-0.041041,0.946453,0.320223,0.101916,-0.314855,0.943652
plantview__langdon_4__05-03-24,23,24,1,12,12,0.9471,1.6768,2.8425,0.513582,OK,0.997355,0.063341,-0.035646,-0.049847,0.953017,0.298787,0.052897,-0.29622,0.953654
plantview__langdon_4__05-03-24,23,25,2,8,8,0.0,1.0614,1.5269,0.666667,OK,0.997521,0.046432,-0.05288,-0.051933,0.992801,-0.107931,0.047487,0.110409,0.992751
plantview__langdon_4__05-03-24,23,26,3,4,4,0.2358,0.9863,1.2069,0.269726,OK,0.99837,0.003211,-0.05699,-0.032519,0.852546,-0.52164,0.046911,0.522643,0.85126
plantview__langdon_4__05-03-24,24,25,1,12,12,0.0,1.2261,4.2771,1.0,OK,0.999977,0.002963,0.006152,-0.000275,0.917686,-0.397306,-0.006823,0.397295,0.917665
plantview__langdon_4__05-03-24,24,26,2,8,8,1.2295,2.7543,2.8408,0.299025,OK,0.999836,-0.008233,0.016144,0.017511,0.668364,-0.743628,-0.004667,0.743789,0.668398
plantview__langdon_4__05-03-24,24,27,3,4,4,1.385,2.1842,2.4695,0.13976,OK,0.999963,0.003279,0.007964,0.006571,0.307273,-0.951599,-0.005567,0.951616,0.307241
