sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__12-03-24,4,5,1,8,7,0.5848,2.5114,2.9734,0.420651,OK,0.999624,-0.018837,0.019949,0.027435,0.694594,-0.718879,-0.000315,0.719156,0.694849
plantview__langdon_4__12-03-24,5,6,1,8,6,0.1197,1.3045,1.4599,0.595396,OK,0.955855,-0.051342,-0.289317,-0.149103,0.763687,-0.628132,0.253197,0.643542,0.722319
plantview__langdon_4__12-03-24,6,7,1,8,8,1.4091,4.4692,4.6082,0.276731,OK,0.999852,0.017,0.002664,-0.013271,0.663264,0.748268,0.010954,-0.748193,0.663391
plantview__langdon_4__12-03-24,7,8,1,8,8,0.0,0.7088,0.9713,0.666667,OK,0.999884,0.014444,-0.004835,-0.007898,0.763072,0.646265,0.013024,-0.646152,0.763098
plantview__langdon_4__12-03-24,8,9,1,8,8,2.1788,3.4417,3.4864,0.209724,OK,0.999759,-0.014219,0.016702,0.021914,0.681172,-0.731796,-0.000972,0.731985,0.68132
plantview__langdon_4__12-03-24,9,10,1,8,8,0.8706,1.7438,1.7654,0.356385,OK,0.96311,-0.040759,-0.266003,-0.141577,0.763868,-0.629652,0.228855,0.644084,0.729919
plantview__langdon_4__12-03-24,10,11,1,8,8,1.09,4.281,4.4163,0.318973,OK,0.999915,0.013018,0.000732,-0.009282,0.671215,0.741205,0.009157,-0.741148,0.671279
plantview__langdon_4__12-03-24,11,12,1,8,5,0.106,1.0148,1.1165,0.602757,OK,0.999903,0.013897,0.001096,-0.011178,0.752265,0.658766,0.008331,-0.658714,0.752347
plantview__langdon_4__12-03-24,12,13,1,8,8,0.0,3.4428,4.4268,0.666667,OK,0.999564,-0.018609,0.02292,0.029422,0.692151,-0.721153,-0.002444,0.721513,0.692397
plantview__langdon_4__12-03-24,13,14,1,8,8,0.0,1.5841,1.9853,0.666667,OK,0.9583,-0.043487,-0.282437,-0.150094,0.76445,-0.626967,0.243174,0.643214,0.726045
plantview__langdon_4__12-03-24,14,15,1,8,8,1.4949,3.5275,4.4248,0.267216,OK,0.999923,0.009429,0.00801,-0.012235,0.657526,0.753332,0.001836,-0.753373,0.657591
plantview__langdon_4__12-03-24,15,16,1,8,8,0.3664,0.6144,0.8228,0.487917,OK,0.999871,0.015901,0.00241,-0.01367,0.761352,0.648194,0.008472,-0.648143,0.761471
plantview__langdon_4__12-03-24,16,17,1,8,6,0.1816,3.0054,3.0243,0.5642,OK,0.999814,-0.013116,0.014163,0.019304,0.680144,-0.732824,-2.1e-05,0.732961,0.680271
plantview__langdon_4__12-03-24,17,18,1,8,8,0.0,1.4654,1.6925,0.666667,OK,0.956271,-0.042485,-0.289381,-0.156972,0.760284,-0.630339,0.246791,0.6482,0.720369
plantview__langdon_4__12-03-24,18,19,1,8,8,2.1638,3.2762,4.4257,0.210719,OK,0.999983,4.3e-05,0.005869,-0.004456,0.656459,0.754349,-0.00382,-0.754362,0.656448
plantview__langdon_4__12-03-24,19,20,1,8,8,0.0,1.1478,1.4396,0.666667,OK,0.999865,0.016446,-0.000356,-0.012318,0.762878,0.646425,0.010903,-0.646333,0.762978
plantview__langdon_4__12-03-24,20,21,1,8,8,0.3876,3.6822,3.8909,0.480441,OK,0.999568,-0.020861,0.020687,0.029376,0.699253,-0.71427,0.000435,0.714569,0.699564
plantview__langdon_4__12-03-24,21,22,1,8,8,0.0,0.5673,0.8125,0.666667,OK,0.964831,-0.027773,-0.2614,-0.147288,0.766535,-0.625085,0.217732,0.641602,0.735486
plantview__langdon_4__12-03-24,22,23,1,8,8,1.4363,3.9737,4.3426,0.273643,OK,0.999986,0.002896,-0.004438,0.001244,0.685755,0.727831,0.005151,-0.727826,0.685742
plantview__langdon_4__12-03-24,23,24,1,8,8,0.786,1.4874,1.7824,0.373271,OK,0.999912,0.011182,-0.007128,-0.003717,0.752328,0.658778,0.012729,-0.658694,0.752303
plantview__langdon_4__12-03-24,24,25,1,8,8,0.8594,3.8436,5.0629,0.358531,OK,0.999629,-0.016872,0.021389,0.027054,0.707126,-0.70657,-0.003203,0.706886,0.70732
plantview__langdon_4__12-03-24,25,26,1,8,8,0.0,0.6882,0.6973,0.666667,OK,0.951781,-0.057829,-0.301279,-0.153378,0.760819,-0.630578,0.265685,0.646382,0.715263
plantview__langdon_4__12-03-24,26,27,1,8,8,1.518,3.4258,4.3196,0.264757,OK,0.999952,0.00968,-0.001156,-0.005626,0.669766,0.742551,0.007962,-0.742509,0.669789
plantview__langdon_4__12-03-24,27,28,1,8,8,1.2221,1.6324,1.7165,0.300017,OK,0.999354,0.032362,-0.015628,-0.013987,0.750821,0.660357,0.033104,-0.659712,0.750789
plantview__langdon_4__12-03-24,28,29,1,8,8,1.8007,2.7308,2.733,0.238038,OK,0.999518,-0.016675,0.026191,0.030531,0.68133,-0.731339,-0.00565,0.731786,0.681511
plantview__langdon_4__12-03-24,29,30,1,8,8,0.0,1.1772,1.8272,0.666667,OK,0.951267,-0.052127,-0.30393,-0.160193,0.758646,-0.631502,0.263493,0.649415,0.713325
plantview__langdon_4__12-03-24,30,31,1,8,8,1.8431,3.1983,3.634,0.234488,OK,0.999971,0.00703,0.002936,-0.006863,0.663886,0.747802,0.003308,-0.747801,0.663915
plantview__langdon_4__12-03-24,31,32,1,8,8,0.7652,1.4432,1.8757,0.377673,OK,0.999586,0.024291,-0.01544,-0.008026,0.750399,0.660936,0.027641,-0.660538,0.750283
plantview__langdon_4__12-03-24,32,33,1,8,5,0.4317,3.9991,4.16,0.465651,OK,0.999721,-0.018351,0.014904,0.023522,0.70886,-0.704957,0.002372,0.70511,0.709094
plantview__langdon_4__12-03-24,33,34,1,8,8,0.0753,0.9935,1.5863,0.620002,OK,0.955584,-0.044746,-0.291303,-0.154784,0.764924,-0.625246,0.250802,0.642564,0.724023
plantview__langdon_4__12-03-24,34,35,1,8,6,0.5071,3.2533,3.2679,0.442347,OK,0.999879,0.015515,-0.000562,-0.009878,0.663662,0.747968,0.011977,-0.747872,0.663735
plantview__langdon_4__12-03-24,35,36,1,8,8,0.9785,1.787,2.3359,0.336952,OK,0.999292,0.032495,-0.018939,-0.012737,0.766148,0.642538,0.035389,-0.641842,0.76602
plantview__langdon_4__12-03-24,36,37,1,8,8,0.0,3.3485,3.4088,0.666667,OK,0.999916,-0.00969,0.008568,0.012901,0.699133,-0.714875,0.000937,0.714925,0.6992
plantview__langdon_4__12-03-24,37,38,1,8,8,0.0,0.0,0.0,0.666667,OK,0.95895,-0.040242,-0.280705,-0.150185,0.767584,-0.623105,0.24054,0.639684,0.730031
plantview__langdon_4__15-04-24,0,1,1,8,8,0.8945,3.1413,3.2193,0.351898,OK,0.999749,-0.01039,0.019831,0.022173,0.582015,-0.812875,-0.003096,0.813111,0.5821
plantview__langdon_4__15-04-24,1,2,1,8,8,1.6314,2.2278,2.296,0.253351,OK,0.973943,0.006359,-0.226704,-0.096277,0.916657,-0.387905,0.205343,0.399624,0.893384
plantview__langdon_4__15-04-24,2,3,1,8,5,0.2328,3.8309,4.9488,0.540767,OK,0.999895,0.014149,0.003164,-0.011456,0.637301,0.77053,0.008886,-0.770485,0.637396
plantview__langdon_4__15-04-24,3,4,1,8,8,1.1301,1.332,1.4684,0.312975,OK,0.999834,0.008496,-0.016118,-0.003032,0.949873,0.312623,0.017966,-0.312522,0.949741
plantview__langdon_4__15-04-24,4,5,1,8,8,1.1146,2.9364,3.0695,0.315264,OK,0.999887,-0.006167,0.013673,0.014317,0.664253,-0.747371,-0.004474,0.747483,0.664266
