seq_id,date,offset,order,n_views,rot_median,rot_p90,center_median_norm,pose_gate
plantview__langdon_4__12-03-24,12-03-24,92,forward,16,5.1823978597190035,13.625480827387992,0.06272187571357654,PASS
plantview__langdon_4__12-03-24,12-03-24,96,forward,16,2.8332602328966603,5.331751011037682,0.06057785258962897,PASS
plantview__langdon_4__12-03-24,12-03-24,100,forward,16,1.7714138629934997,3.0682959398967915,0.044355232961268067,PASS
plantview__langdon_4__12-03-24,12-03-24,104,forward,16,1.753400888686176,2.5947134239876872,0.05014374939919983,PASS
plantview__langdon_4__12-03-24,12-03-24,108,forward,16,1.9879267804091167,3.8162858774849187,0.05174719838074887,PASS
plantview__langdon_4__12-03-24,12-03-24,112,forward,16,2.137606979351568,3.444725971009306,0.024126715762648028,PASS
plantview__langdon_4__12-03-24,12-03-24,116,forward,16,5.0191395100133605,13.864105061898028,0.06127444023867734,PASS
plantview__langdon_4__12-03-24,12-03-24,120,forward,16,8.841161960569124,9.424469395185568,0.2656545100807267,PASS
plantview__langdon_4__12-03-24,12-03-24,124,forward,16,5.299508098926548,13.34754582177822,0.08774439291967503,PASS
plantview__langdon_4__12-03-24,12-03-24,128,forward,16,2.5945411085869114,3.571462787081214,0.06271293170383788,PASS
plantview__langdon_4__12-03-24,12-03-24,132,forward,16,0.8548920672222395,2.886389053574558,0.042033347027681016,PASS
plantview__langdon_4__12-03-24,12-03-24,136,forward,16,1.2563681956019355,2.170536018086373,0.04325357721260806,PASS
plantview__langdon_4__12-03-24,12-03-24,140,forward,16,1.1642592927744486,1.9862373913908442,0.027369645052886814,PASS
plantview__langdon_4__12-03-24,12-03-24,144,forward,16,2.142830962047788,3.3232504015157662,0.03151644093435853,PASS
plantview__langdon_4__12-03-24,12-03-24,148,forward,16,5.342387462822537,13.973049799778295,0.06811432006367774,PASS
plantview__langdon_4__12-03-24,12-03-24,152,forward,16,8.964098257726839,9.370856249661657,0.2877498502765342,PASS
plantview__langdon_4__12-03-24,12-03-24,156,forward,16,5.298633668289133,13.675517504730188,0.09476528573947815,PASS
plantview__langdon_4__12-03-24,12-03-24,160,forward,16,2.173693629280849,4.523269450933297,0.07315686729675669,PASS
plantview__langdon_4__12-03-24,12-03-24,164,forward,16,1.5904758562674255,3.280747527433718,0.05522142470121045,PASS
plantview__langdon_4__12-03-24,12-03-24,168,forward,16,1.729289284923917,3.337088531324148,0.05711698729627547,PASS
plantview__langdon_4__12-03-24,12-03-24,172,forward,16,2.565742158673508,4.434659026226328,0.06575734986171945,PASS
plantview__langdon_4__12-03-24,12-03-24,176,forward,16,1.6127883912056311,4.059964630847409,0.01859686667815375,PASS
plantview__langdon_4__12-03-24,12-03-24,180,forward,16,4.996079412759483,13.54488913836569,0.061376082958412397,PASS
plantview__langdon_4__12-03-24,12-03-24,184,forward,16,8.787687910828431,9.134928562025802,0.25969478730760925,PASS
plantview__langdon_4__12-03-24,12-03-24,188,forward,16,4.819921599937688,13.209613656277803,0.07781962902934,PASS
plantview__langdon_4__12-03-24,12-03-24,192,forward,16,3.049572347820441,5.507400767288644,0.049568560807847425,PASS
plantview__langdon_4__12-03-24,12-03-24,196,forward,16,0.9846593051468233,2.4899371033367492,0.04214134192207673,PASS
plantview__langdon_4__12-03-24,12-03-24,200,forward,16,0.545943226915485,1.767439180038652,0.035545566407237425,PASS
plantview__langdon_4__12-03-24,12-03-24,204,forward,16,0.7337858566822889,1.3909636787026123,0.024362582622631558,PASS
plantview__langdon_4__12-03-24,12-03-24,208,forward,16,2.088808783843969,3.195468256562617,0.022693681226455747,PASS
plantview__langdon_4__12-03-24,12-03-24,212,forward,16,5.101320306252104,13.804717507064899,0.06664683092523126,PASS
plantview__langdon_4__12-03-24,12-03-24,216,forward,16,8.435536171091437,9.021417930701462,0.25670032786541097,PASS
plantview__langdon_4__12-03-24,12-03-24,220,forward,16,4.686081287618726,12.635897150270464,0.05825761057799539,PASS
plantview__langdon_4__12-03-24,12-03-24,224,forward,16,2.673599146680468,4.280515389658602,0.047061905582042,PASS
plantview__langdon_4__12-03-24,12-03-24,228,forward,16,1.8079659419557714,2.546482672584412,0.03868443007789686,PASS
plantview__langdon_4__12-03-24,12-03-24,232,forward,16,0.7906900710073117,1.9969470962628981,0.03994838686929002,PASS
plantview__langdon_4__12-03-24,12-03-24,236,forward,16,0.9853748891686771,1.8545501399798017,0.025435958360528164,PASS
plantview__langdon_4__12-03-24,12-03-24,240,forward,16,1.3973106295912845,3.0195526270584248,0.027357853533629465,PASS
plantview__langdon_4__12-03-24,12-03-24,244,forward,16,4.83134700449299,13.631500873739228,0.07344578624085575,PASS
plantview__langdon_4__12-03-24,12-03-24,248,forward,16,8.775403444906617,8.939467715065703,0.25928975961529577,PASS
plantview__langdon_4__12-03-24,12-03-24,252,forward,16,4.691486117444098,12.954405770892464,0.05928000876310671,PASS
plantview__langdon_4__12-03-24,12-03-24,256,forward,16,3.4791505858157348,4.4333630880728405,0.0472921407150485,PASS
plantview__langdon_4__12-03-24,12-03-24,260,forward,16,1.524187348967714,3.5716659759902054,0.03879690054657366,PASS
plantview__langdon_4__12-03-24,12-03-24,264,forward,16,1.4640611045091059,2.0434128672271985,0.03531295176125632,PASS
plantview__langdon_4__12-03-24,12-03-24,268,forward,16,1.2640331427221683,2.560031728580234,0.029606521409041374,PASS
plantview__langdon_4__12-03-24,12-03-24,272,forward,16,1.35635297135447,3.023899477510542,0.020922948810555328,PASS
plantview__langdon_4__12-03-24,12-03-24,276,forward,16,5.1542959907160455,14.175415619129886,0.058595986458785686,PASS
plantview__langdon_4__12-03-24,12-03-24,280,forward,16,8.282724435830156,9.006569496604737,0.2565963233277113,PASS
plantview__langdon_4__12-03-24,12-03-24,284,forward,16,4.710194490510082,12.217792750190945,0.04966859490644269,PASS
plantview__langdon_4__12-03-24,12-03-24,288,forward,16,3.012970073627957,5.394636630975226,0.058126537441609706,PASS
plantview__langdon_4__12-03-24,12-03-24,292,forward,16,0.8612692999395681,3.4326303363232613,0.047703152320488065,PASS
plantview__langdon_4__12-03-24,12-03-24,296,forward,16,0.9805564385727575,1.8771049256724033,0.039648147030688544,PASS
plantview__langdon_4__12-03-24,12-03-24,300,forward,16,1.3894450123399484,2.8368093832462664,0.03308468414200767,PASS
plantview__langdon_4__12-03-24,12-03-24,304,forward,16,1.9481174242466843,3.427179125378509,0.020785953050703257,PASS
plantview__langdon_4__12-03-24,12-03-24,308,forward,16,1.5854312666503034,3.3387358993572205,0.017053724439750603,PASS
plantview__langdon_4__12-03-24,12-03-24,312,forward,16,0.9704284492050075,1.4793694823128944,0.02193711907422352,PASS
plantview__langdon_4__12-03-24,12-03-24,316,forward,16,0.5995257514639604,1.3272940159860835,0.026453835638876856,PASS
plantview__langdon_4__12-03-24,12-03-24,-1,reverse,16,3.50026069396571,5.2116747500088065,0.04745068752695518,PASS
plantview__langdon_4__15-04-24,15-04-24,0,forward,16,2.3945636420976477,4.834574473658188,0.05759331375011559,PASS
