sequence,pilot_index,original_index,filename,auto_absrel,auto_rmse,auto_scale,calK_absrel,calK_rmse,calK_scale,delta_absrel,delta_rmse,calK_wins_absrel,calK_wins_rmse
plantview__langdon_4__12-03-24,15,240,0240_eval.png,0.7570232477554869,0.8203103534975248,0.559537289859013,0.84140196171984,0.9107505906260885,0.5304907680563766,0.08437871396435315,0.09044023712856375,0,0
plantview__langdon_4__12-03-24,16,256,0256_eval.png,0.28142414185385056,0.5529276773409858,1.5790320515485345,0.27650796425024077,0.5338703235900918,1.5422533953142699,-0.004916177603609795,-0.019057353750894013,1,1
plantview__langdon_4__12-03-24,17,272,0272_eval.png,0.6696906005191102,0.7209894548399248,0.5969462666461707,0.74485458627535,0.7995741496630575,0.566839942391733,0.07516398575623973,0.07858469482313268,0,0
plantview__langdon_4__12-03-24,18,288,0288_eval.png,0.654350368353471,1.0758639427948047,3.630242119594915,0.6598043129702712,1.0832059105515186,3.687461410308728,0.005453944616800155,0.0073419677567139185,0,0
plantview__langdon_4__12-03-24,19,304,0304_eval.png,0.39618188545383726,0.4413995833883617,0.7297371794874489,0.4586960311415938,0.5031357422373871,0.6918980229661262,0.06251414568775654,0.06173615884902539,0,0
plantview__langdon_4__13-02-24,0,0,0000_eval.png,0.21806869076876043,0.31928649425251154,1.2581505745850445,0.20752497589873425,0.29325122834087713,1.2126314619642442,-0.010543714870026172,-0.02603526591163441,1,1
plantview__langdon_4__13-02-24,1,16,0016_eval.png,0.3873043648143237,0.3729376284117145,0.7372558391176167,0.4329080025834131,0.3914668945993315,0.7019814410599565,0.04560363776908943,0.018529266187616966,0,0
plantview__langdon_4__13-02-24,2,32,0032_eval.png,0.5598924308296188,0.7548210527145461,2.4525361867071074,0.5768837313010656,0.7753816187827809,2.5421248824794276,0.016991300471446813,0.020560566068234754,0,0
plantview__langdon_4__13-02-24,3,48,0048_eval.png,0.43347670857022175,0.39175897359933787,0.730338311279715,0.49548545385540665,0.4323874071328632,0.6866347085996541,0.06200874528518491,0.040628433533525354,0,0
plantview__langdon_4__13-02-24,4,64,0064_eval.png,0.37820652563697577,0.5246377947688831,1.7651116299196679,0.3754706656966094,0.5213804977020972,1.7565739786393855,-0.0027358599403663475,-0.0032572970667859025,1,1
plantview__langdon_4__13-02-24,5,80,0080_eval.png,0.23385877349426984,0.25395338408267315,0.8645875939923741,0.2886652987406325,0.28099997877838273,0.8167426713476498,0.054806525246362675,0.02704659469570958,0,0
plantview__langdon_4__13-02-24,6,96,0096_eval.png,0.39287133691346376,0.5224779821246985,1.805594336501188,0.39639676158580267,0.5265451378858458,1.8182046362449,0.003525424672338906,0.004067155761147245,0,0
