sequence,pilot_index,original_index,filename,raw_absrel,raw_mae_m,raw_rmse_m,raw_delta1,scale_ratio,aligned_absrel,aligned_rmse_m,auto_raw_absrel,auto_raw_rmse_m,auto_scale_ratio
plantview__langdon_4__12-03-24,5,80,0080_eval.png,0.6395771733093105,0.6554565337540623,0.7104893246833272,0.10174151293936608,0.6064221567071366,0.15522220666560677,0.32495399310871054,0.5713307451090209,0.634860391881316,0.6381590776276393
plantview__langdon_4__12-03-24,6,96,0096_eval.png,0.353440639734858,0.5918468198850018,0.6765555098797607,0.0932570663777445,1.8032258791007474,0.2672677423441182,0.4135927504221913,0.3680860462174027,0.7004619780527724,1.8563716352581991
plantview__langdon_4__12-03-24,7,112,0112_eval.png,0.7652694599370418,0.7935667076443061,0.8537737609581942,0.09363067996437484,0.5686203781934213,0.17231093078184312,0.3164878263806284,0.6837865390127927,0.7657645663991204,0.5987680765619094
plantview__langdon_4__12-03-24,8,128,0128_eval.png,0.4096113616669162,0.6907679259472592,0.7736631946895295,0.08676235544830611,2.0035901709703325,0.2607138942243469,0.4114107281875847,0.4283680953276977,0.8022393124171494,2.0776466857306586
plantview__langdon_4__12-03-24,9,144,0144_eval.png,0.6452269327631878,0.6650964016973341,0.7151520501738411,0.09752734148012593,0.6141652186487374,0.15065666381078488,0.28072277763927767,0.5687839470491961,0.6318218810523183,0.6470835079739296
plantview__langdon_4__12-03-24,10,160,0160_eval.png,0.3845732979555347,0.6325403464251551,0.7161934305942294,0.07616580310880829,1.906144672861534,0.2629777742126333,0.3952800122045782,0.4036817521390394,0.7427109211736411,1.9720155077983248
plantview__langdon_4__12-03-24,11,176,0176_eval.png,0.5957279838945326,0.6128002725619752,0.6626185891102875,0.1270894748110209,0.6277750271654162,0.1461210869932987,0.3009635580245934,0.535178259538553,0.5957610613951648,0.655601494462158
plantview__langdon_4__12-03-24,12,192,0192_eval.png,0.3193847012221783,0.5308014330114555,0.6213396793508614,0.14039154638826376,1.7318971004995745,0.2702507322830042,0.4127100058524874,0.33496490883540914,0.6483734316389602,1.7887278938349171
plantview__langdon_4__12-03-24,13,208,0208_eval.png,0.757652236197411,0.7718487601076445,0.8319585851643045,0.10195049714406601,0.5625062665779471,0.15658459910576084,0.3313973670354439,0.6827073686160136,0.7509240000439386,0.5901905937374289
plantview__langdon_4__12-03-24,14,224,0224_eval.png,0.27950653907992934,0.43789249451145046,0.5260296124787447,0.2338347710218108,1.5446236962106323,0.34861654505419176,0.47958527387024036,0.2828570555774545,0.5390952359344032,1.57169635451111
